Rating,MRP,Processor,Display,OS,Brand,RAMSize,RAMType,Storage_HDD,Storage_SSD
4.2,36990.0,Intel Core i3 Processor,35.56,Windows,LENOVO,8,DDR4 ,0,256
4.2,39990.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,32990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.4,49990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.4,49990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.2,36990.0,Intel Core i3 Processor,35.56,Windows,HP,8,DDR4 ,0,256
4.3,38990.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,1000,256
4.1,39990.0,Intel Core i5 Processor,39.62,Windows,REDMIBOOK,8,DDR4 ,0,512
4.4,46990.0,Intel Core i3 Processor,35.56,Windows,REALME,8,DDR4 ,0,256
4.1,44990.0,Ryzen 7 Quad Core Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.4,59990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.2,38705.0,Ryzen 5 Quad Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,32990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,256
4.4,52990.0,Ryzen 5 Hexa Core Processor,43.94,Windows,ASUS,8,DDR4 ,0,512
4.3,29990.0,Intel Core i3 Processor,39.62,Windows,ACER,8,DDR4 ,0,256
4.3,196990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.3,47990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,1000,256
4.3,45990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.4,47990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.6,85990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.7,88990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,256
4.2,40990.0,Intel Core i3 Processor,35.56,Windows,HP,8,DDR4 ,0,512
3.7,19490.0,Intel Celeron Dual Core Processor,39.62,DOS,LENOVO,4,LPDDR4 ,256,256
4.2,35590.0,Ryzen 3 Dual Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,65990.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,58990.0,Intel Core i5 Processor,39.62,Windows,ACER,16,DDR4 ,0,512
4.2,24990.0,Ryzen 3 Dual Core Processor,39.62,Windows,ACER,8,DDR4 ,0,256
4.4,47990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.4,73990.0,Ryzen 7 Octa Core Processor,43.94,Windows,ASUS,8,DDR4 ,0,512
4.2,53490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.9,150990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.3,51990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.7,66990.0,Intel Core i5 Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.3,194990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.4,51990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,16,DDR4 ,0,512
3.9,25990.0,Athlon Dual Core Processor,35.56,Windows,HP,8,DDR4 ,0,256
4.2,35990.0,Ryzen 5 Quad Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.2,43990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.3,44990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
3.7,64490.0,Ryzen 5 Hexa Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.4,40990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,256
4.4,38990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.2,58990.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.4,59990.0,Intel Core i5 Processor,35.56,Windows,REALME,8,DDR4 ,0,512
4.4,47990.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.2,37499.0,Ryzen 3 Quad Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.1,94990.0,Ryzen 9 Octa Core Processor,35.56,Windows,ASUS,8,DDR4 ,0,1000
4.3,32990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.0,23990.0,Intel Celeron Dual Core Processor,35.56,Windows,ASUS,4,DDR4 ,0,256
4.3,48990.0,Ryzen 5 Hexa Core Processor,35.56,Windows,HP,16,DDR4 ,0,512
4.7,139990.0,M2 Processor,33.78,Mac,APPLE,8,Unified Memory ,0,512
4.6,89990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.5,59990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ASUS,8,DDR4 ,0,1000
4.6,70990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,DELL,16,DDR4 ,0,512
4.2,22990.0,Intel Celeron Quad Core Processor,35.56,Windows,INFINIX,8,LPDDR4X ,0,256
4.3,46990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,50990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,1000,256
4.2,28990.0,Intel Core i3 Processor,35.56,Windows,INFINIX,8,LPDDR4X ,0,256
4.3,84990.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.8,181990.0,M1 Pro Processor,36.07,Mac,APPLE,16,Unified Memory ,0,512
4.6,109990.0,Ryzen 9 Octa Core Processor,39.62,Windows,MSI,16,DDR4 ,0,1000
4.1,37990.0,Intel Core i5 Processor,35.56,Windows,INFINIX,16,LPDDR4X ,0,512
5.0,139990.0,M2 Processor,34.54,Mac,APPLE,8,Unified Memory ,0,512
4.4,29990.0,Intel Core i3 Processor,39.62,Windows,LENOVO,4,DDR4 ,0,256
4.5,73490.0,Ryzen 7 Octa Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.4,52990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ASUS,8,DDR4 ,1000,256
4.2,41890.0,Intel Core i3 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.2,30428.0,Intel Pentium Silver Processor,39.62,Windows,DELL,8,DDR4 ,0,256
4.1,34990.0,Intel Core i3 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.7,88990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,256
4.4,65990.0,Intel Core i7 Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.1,33490.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.1,60990.0,Intel Core i5 Processor,35.56,Windows,HP,16,DDR4 ,0,512
4.3,59990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.2,114990.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,1000
4.3,119990.0,Intel Core i7 Processor,40.64,Windows,ASUS,16,DDR4 ,0,1000
4.3,42990.0,Intel Core i5 Processor,39.62,Windows,INFINIX,8,LPDDR4X ,0,512
4.6,89990.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,LPDDR5 ,0,512
4.5,79990.0,Ryzen 7 Octa Core Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.8,70990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,1000
4.3,33900.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,256
4.8,52990.0,Intel Core i7 Processor,39.62,Windows,INFINIX,16,LPDDR4X ,0,512
4.7,124990.0,M1 Processor,33.78,Mac,APPLE,16,DDR4 ,0,512
4.2,31990.0,Intel Core i3 Processor,39.62,Windows,REDMIBOOK,8,DDR4 ,0,256
4.3,66990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ACER,16,DDR4 ,0,512
5.0,89081.0,Ryzen 7 Octa Core Processor,39.62,Windows,DELL,16,DDR4 ,0,512
4.7,104990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,512
4.2,53490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.5,45990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,LPDDR4X ,0,256
4.5,45990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.4,51990.0,Intel Core i5 Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.3,75990.0,Ryzen 7 Octa Core Processor,39.62,Windows,HP,16,DDR4 ,0,512
4.2,36990.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,256
3.7,78800.0,Intel Core i5 Processor,35.56,Windows,HP,16,DDR4 ,0,512
4.2,29390.0,Athlon Dual Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,30990.0,Intel Core i3 Processor,35.56,Windows,INFINIX,8,LPDDR4X ,0,256
4.1,62490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,16,DDR4 ,0,512
3.8,89990.0,Intel Core i7 Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.1,58899.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.5,85990.0,Intel Core i5 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.3,63490.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,1000,256
4.2,38990.0,Ryzen 5 Quad Core Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.3,67990.0,Intel Core i5 Processor,40.89,Windows,HP,8,DDR4 ,0,512
4.2,39790.0,Intel Core i3 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.8,241990.0,M1 Pro Processor,41.15,Mac,APPLE,16,Unified Memory ,0,1000
4.6,104990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,512
4.1,42190.0,Ryzen 3 Dual Core Processor,35.56,Windows,DELL,8,DDR4 ,0,512
4.2,39990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.5,99990.0,Intel Core i7 Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.3,309490.0,M1 Max Processor,41.15,Mac,APPLE,32,Unified Memory ,0,1000
4.4,64990.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,DDR4 ,1000,256
4.5,85990.0,Ryzen 7 Octa Core Processor,43.94,Windows,ASUS,16,DDR4 ,0,512
4.8,222990.0,M1 Pro Processor,36.07,Mac,APPLE,16,Unified Memory ,0,1000
4.3,15990.0,Intel Celeron Dual Core Processor,35.81,DOS,ULTIMUS,4,LPDDR4 ,0,128
4.3,45900.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,1000,256
4.3,79990.0,Intel Core i7 Processor,33.78,Windows,ASUS,16,LPDDR4X ,0,512
4.4,56990.0,Intel Core i5 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.2,34990.0,Ryzen 3 Dual Core Processor,39.62,Windows,DELL,8,DDR4 ,0,256
3.4,43580.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,0,512
5.0,74990.0,Ryzen 5 Hexa Core Processor,33.78,Windows,LENOVO,16,DDR4 ,0,512
4.3,37490.0,Intel Core i3 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.2,20990.0,Intel Celeron Quad Core Processor,35.56,Windows,INFINIX,4,LPDDR4X ,0,128
4.6,109990.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.7,71990.0,Intel Core i5 Processor,33.78,Windows,ASUS,16,LPDDR4 ,0,512
4.3,32990.0,Intel Core i3 Processor,35.56,Windows,INFINIX,8,LPDDR4X ,0,512
4.5,43990.0,Ryzen 5 Hexa Core Processor,35.56,Windows,MSI,8,DDR4 ,0,512
3.9,25990.0,Ryzen 3 Dual Core Processor,35.56,Windows,ACER,8,DDR4 ,0,256
4.4,122990.0,Intel Core i9 Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.3,68990.0,Intel Core i5 Processor,39.62,Windows,ACER,16,DDR4 ,0,512
4.3,59990.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.4,39990.0,Ryzen 5 Quad Core Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.0,25950.0,Intel Celeron Dual Core Processor,35.56,Windows,LENOVO,4,DDR4 ,0,256
4.2,64999.0,Intel Core i5 Processor,35.56,Windows,REALME,16,LPDDR4X ,0,512
4.4,60990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.3,36990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.6,59990.0,Intel Core i5 Processor,39.62,Windows,SAMSUNG,8,LPDDR4X ,0,256
4.8,222990.0,M1 Pro Processor,41.15,Mac,APPLE,16,Unified Memory ,0,512
4.3,235283.0,Intel Core i9 Processor,39.62,Windows,DELL,16,DDR5 ,0,1000
4.0,38990.0,Intel Core i3 Processor,39.62,Windows,DELL,8,DDR4 ,0,512
4.5,67990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.5,79990.0,Intel Core i5 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.3,89990.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,LPDDR5 ,0,512
4.7,241990.0,Intel Core i9 Processor,40.64,Windows,ASUS,32,DDR5 ,0,1000
4.3,43490.0,Intel Core i5 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.4,46990.0,Intel Core i3 Processor,35.56,Windows,REALME,8,DDR4 ,0,256
4.0,40990.0,Ryzen 5 Quad Core Processor,39.62,Windows,VAIO,8,DDR4 ,0,512
4.7,94990.0,M1 Processor,33.78,Mac,APPLE,8,DDR4 ,0,256
4.5,114990.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,1000
4.6,121990.0,M2 Processor,33.78,Mac,APPLE,8,Unified Memory ,0,256
4.1,27990.0,Intel Pentium Silver Processor,35.56,Windows,ASUS,8,DDR4 ,0,256
4.2,40190.0,Ryzen 3 Dual Core Processor,39.62,Windows,DELL,8,DDR4 ,0,512
4.1,34990.0,Ryzen 3 Dual Core Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.7,94990.0,Intel Core i7 Processor,35.56,Windows,ASUS,16,LPDDR4X ,0,1000
4.4,69990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,59990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
5.0,66990.0,Intel Core i5 Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.3,104990.0,Intel Core i7 Processor,33.78,Windows,ASUS,16,LPDDR4X ,0,512
4.3,54900.0,Intel Core i3 Processor,35.56,Windows,DELL,8,DDR4 ,0,256
4.7,136990.0,Ryzen 7 Octa Core Processor,40.64,Windows,LENOVO,16,DDR4 ,0,1000
4.3,48184.0,Ryzen 5 Dual Core Processor,39.62,Windows,DELL,8,DDR4 ,0,512
4.5,74990.0,Intel Core i5 Processor,35.56,Windows,ASUS,16,DDR4 ,0,512
4.8,60990.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.2,49990.0,Ryzen 5 Hexa Core Processor,35.56,Windows,HP,8,DDR4 ,0,512
4.4,67990.0,Intel Core i5 Processor,39.62,Windows,DELL,8,DDR4 ,0,512
4.3,58000.0,Intel Core i5 Processor,35.56,Windows,LENOVO,8,DDR4 ,0,512
4.3,29990.0,Intel Core i3 Processor,35.56,Windows,INFINIX,8,LPDDR4X ,0,256
4.3,114990.0,Ryzen 7 Octa Core Processor,34.04,Windows,ASUS,16,LPDDR5 ,0,1000
4.3,33990.0,Ryzen 3 Dual Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.4,64990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.3,79990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,16,DDR4 ,0,512
4.5,56990.0,Ryzen 5 Dual Core Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.7,81990.0,Ryzen 5 Hexa Core Processor,33.78,Windows,HP,16,DDR4 ,0,512
4.5,129990.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,1000
4.5,79990.0,Ryzen 7 Octa Core Processor,39.62,Windows,HP,16,DDR4 ,1000,256
4.7,139990.0,M2 Processor,34.54,Mac,APPLE,8,Unified Memory ,0,512
4.1,109990.0,Intel Core i7 Processor,43.94,Windows,ASUS,16,DDR5 ,0,1000
4.3,154990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.2,62990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,16,DDR4 ,0,512
4.4,47990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.6,43667.0,Ryzen 3 Quad Core Processor,39.62,Windows,DELL,8,DDR4 ,0,512
4.5,135990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
4.4,98990.0,Ryzen 7 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,512
4.2,46990.0,Intel Core i7 Processor,35.56,Windows,INFINIX,16,LPDDR4X ,0,512
4.3,35990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,256
4.3,109990.0,Intel Core i7 Processor,43.94,Windows,ASUS,16,DDR5 ,0,1000
4.3,139990.0,M2 Processor,34.54,Mac,APPLE,8,Unified Memory ,0,512
4.3,74770.0,Intel Core i5 Processor,35.56,Windows,DELL,8,DDR4 ,0,512
4.3,40799.0,Ryzen 3 Quad Core Processor,35.56,Windows,HP,8,DDR4 ,0,512
4.5,69490.0,Intel Core i5 Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
4.2,39990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,512
4.8,99990.0,Ryzen 5 Hexa Core Processor,33.78,Windows,ASUS,16,LPDDR5 ,0,512
4.8,241990.0,M1 Pro Processor,41.15,Mac,APPLE,16,Unified Memory ,0,1000
3.9,40990.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.4,60390.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.4,69990.0,Intel Core i5 Processor,39.62,Windows,HP,8,DDR4 ,1000,256
4.0,44990.0,Intel Core i3 Processor,35.56,Windows,ASUS,8,DDR4 ,0,256
4.7,44990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,256
4.3,55990.0,Ryzen 5 Hexa Core Processor,39.62,Windows,HP,16,DDR4 ,0,512
4.3,74990.0,Intel Core i5 Processor,35.56,Windows,LENOVO,16,LPDDR4X ,0,512
4.5,59990.0,Intel Core i5 Processor,39.62,Windows,ASUS,8,DDR4 ,0,1000
